video_name,video_number,model,masks,AOGM,video_id,model_condition
vanvliet_recA_151031-03,img,SAM21,TRA,15.0,vanvliet_recA_151031-03_img,SAM21_TRA
vanvliet_recA_151031-03,img,general_2D,TRA,30.0,vanvliet_recA_151031-03_img,general_2D_TRA
Fluo-C2DL-Huh7,01,SAM21,TRA,4.0,Fluo-C2DL-Huh7_01,SAM21_TRA
Fluo-C2DL-Huh7,01,general_2D,TRA,4.0,Fluo-C2DL-Huh7_01,general_2D_TRA
Fluo-C2DL-Huh7,02,SAM21,TRA,20.5,Fluo-C2DL-Huh7_02,SAM21_TRA
Fluo-C2DL-Huh7,02,general_2D,TRA,24.0,Fluo-C2DL-Huh7_02,general_2D_TRA
BF-C2DL-MuSC,01,SAM21,ST SEG,764.0,BF-C2DL-MuSC_01,SAM21_ST SEG
BF-C2DL-MuSC,01,general_2D,ST SEG,726.0,BF-C2DL-MuSC_01,general_2D_ST SEG
BF-C2DL-MuSC,01,SAM21,ERR SEG,662.0,BF-C2DL-MuSC_01,SAM21_ERR SEG
BF-C2DL-MuSC,01,general_2D,ERR SEG,776.0,BF-C2DL-MuSC_01,general_2D_ERR SEG
Fluo-N2DL-HeLa,01,SAM21,ST SEG,542.0,Fluo-N2DL-HeLa_01,SAM21_ST SEG
Fluo-N2DL-HeLa,01,general_2D,ST SEG,550.5,Fluo-N2DL-HeLa_01,general_2D_ST SEG
Fluo-N2DL-HeLa,01,SAM21,ERR SEG,549.5,Fluo-N2DL-HeLa_01,SAM21_ERR SEG
Fluo-N2DL-HeLa,01,general_2D,ERR SEG,535.5,Fluo-N2DL-HeLa_01,general_2D_ERR SEG
Fluo-N2DL-HeLa,02,SAM21,ST SEG,805.5,Fluo-N2DL-HeLa_02,SAM21_ST SEG
Fluo-N2DL-HeLa,02,general_2D,ST SEG,842.0,Fluo-N2DL-HeLa_02,general_2D_ST SEG
Fluo-N2DL-HeLa,02,SAM21,ERR SEG,765.0,Fluo-N2DL-HeLa_02,SAM21_ERR SEG
Fluo-N2DL-HeLa,02,general_2D,ERR SEG,723.0,Fluo-N2DL-HeLa_02,general_2D_ERR SEG
